NO3_4mM_1	NO3_4mM_2	NO3_12mM_1	NO3_12mM_2
HaLaN_01107	0	0	17.156218	9.349366
HaLaN_01110	0	0	47.223557	40.730228
HaLaN_01119	0	0	5.170421	10.933108
HaLaN_01121	0	0	61.407551	57.26992
HaLaN_01124	0	0	3.808636	3.612012
HaLaN_01125	0	0	8.517529	5.004975
HaLaN_01130	0	0	32.439526	36.377968
HaLaN_01131	0	0	5.729575	5.639217
HaLaN_01132	0	0	3.094897	6.618064
HaLaN_01134	40.630154	21.858635	33.129356	22.553726
HaLaN_01135	33.052124	19.488977	5.458172	7.664124
HaLaN_01136	0	0	6.318932	9.512893
HaLaN_01141	0	0	1.973533	1.95121
HaLaN_01145	0	0	1.849153	2.994666
HaLaN_01148	38.50037	82.504509	63.296898	75.440117
HaLaN_01151	0	0	22.173292	20.866459
HaLaN_01153	0	0	1.113213	0.403353
HaLaN_01157	0	0	114.330719	152.690964
HaLaN_01163	0	0	57.54512	90.180786
HaLaN_01165	0	0	12.932989	14.768954
HaLaN_01174	0	0	26.517437	30.067152
HaLaN_01182	0	0	25.641106	11.666702
HaLaN_01193	0	0	0.608125	0.929731
HaLaN_01205	0	0	27.820383	10.871991
HaLaN_01211	0	0	0.310058	7.081161
HaLaN_01213	376.281128	335.60675	336.803894	353.569061
HaLaN_01216	0	0	24.194084	17.961441
HaLaN_01217	0	0	13.805683	17.338238
HaLaN_01225	0	0	66.126907	48.226543
HaLaN_01226	0	0	29.33037	21.351645
HaLaN_01228	0	0	27.175264	22.62818
HaLaN_01229	378.40625	182.956909	74.514519	115.342201
HaLaN_01239	0	0	20.328337	11.925151
HaLaN_01240	0	0	8.550149	9.473046
HaLaN_01242	0	0	8.480957	4.43725
HaLaN_01247	0	0	17.348709	10.973896
HaLaN_01248	138.869781	205.328064	90.757401	63.81094
HaLaN_01249	405.7565	309.215179	186.639511	188.355743
HaLaN_01255	384.783325	529.607239	499.055542	672.743958
HaLaN_01257	0	0	66.411316	60.491817
HaLaN_01264	0	0	15.033842	11.816268
HaLaN_01270	0	0	138.845963	115.390762
HaLaN_01271	0	0	451.774292	460.083221
HaLaN_01275	0	0	47.215637	51.412128
HaLaN_01276	408.790253	303.560577	251.713898	215.024521
HaLaN_01278	0	0	58.911236	66.902512
HaLaN_01279	0	0	97.664627	100.363625
HaLaN_01280	0	0	79.476082	88.246246
HaLaN_01281	0	0	78.818176	60.033691
