Gene	NO3_2mM_1	NO3_2mM_2	NO3_15mM_1	NO3_15mM_2
HaLaN_00878	225.363647	172.900589	2.359118	0
HaLaN_00880	131.049988	278.354889	225.677475	246.207306
HaLaN_00881	0	143.086975	216.197449	301.999725
HaLaN_00883	0	0	2.334157	2.235895
HaLaN_00884	111.686218	195.500534	170.120377	157.936188
HaLaN_00885	0	0	30.5369	28.776739
HaLaN_00886	0	0	6.450039	0
HaLaN_00888	148.496231	0	93.778229	50.65173
HaLaN_00889	0	206.992233	58.478298	45.450878
HaLaN_00890	0	47.530327	12.263357	17.695642
HaLaN_00893	29.194351	44.419174	25.770731	31.542267
HaLaN_00894	0	0	15.722341	13.083353
HaLaN_00895	0	0	24.810972	21.547146
HaLaN_00896	41.083939	55.487305	48.81699	47.230488
HaLaN_00898	0	74.587723	113.632095	107.176025
HaLaN_00901	0	0	34.980576	56.265991
HaLaN_00902	21.612833	0	0	0
HaLaN_00904	53.420692	123.976318	77.380348	56.089886
HaLaN_00905	0	0	9.15951	15.875189
HaLaN_00906	0	0	0	8.110544
HaLaN_00908	0	0	83.548492	50.057579
HaLaN_00909	0	0	9.187114	0
HaLaN_00910	27.067518	30.936815	17.894949	16.983841
HaLaN_00911	0	0	7.178178	13.130997
HaLaN_00915	0	0	37.776642	0
HaLaN_00916	0	0	26.466341	26.012476
HaLaN_00920	0	0	1.332694	11.19827
HaLaN_00922	0	0	5.543342	0
HaLaN_00924	0	0	3.621521	4.831133
HaLaN_00934	0	0	4.877844	0
HaLaN_00937	0	0	0	2.342004
HaLaN_00939	0	0	5.212686	1.487926
HaLaN_00942	0	0	2.641851	2.124399
HaLaN_00945	0	0	40.508858	35.488968
HaLaN_00946	0	0	51.119953	56.790138
HaLaN_00949	0	0	68.670479	55.94746
HaLaN_00951	30.037245	23.365381	17.896889	18.932295
HaLaN_00952	0	0	0	11.29846
HaLaN_00953	0	0	23.562393	0
HaLaN_00954	0	0	0	9.942842
HaLaN_00955	0	0	47.02557	61.584454
HaLaN_00957	0	0	0	22.352455
HaLaN_00961	0	0	43.823387	42.784763
HaLaN_00963	0	0	50.896584	0
HaLaN_00965	324.990723	223.462067	262.878143	177.126541
HaLaN_00967	0	0	8.033076	13.450593
HaLaN_00968	0	0	7.189417	7.483358
HaLaN_00973	0	0	205.253326	0
HaLaN_00975	0	0	47.293175	36.948177
HaLaN_00979	104.253311	0	42.476345	40.389717
HaLaN_00980	0	0	3.618488	0
HaLaN_00982	0	0	0.324544	1.536481
HaLaN_00983	0	0	0	1.940841
HaLaN_00984	56.696102	0	3.852571	4.682662
HaLaN_00991	0	0	5.246584	0
HaLaN_00994	96.942688	0	109.047806	75.240097
HaLaN_00996	0	0	0	4.972262
HaLaN_01000	0	0	0.864881	0
HaLaN_01002	0	0	5.739258	14.214051
HaLaN_01011	0	0	14.321497	0
HaLaN_01017	0	0	20.577017	17.895897
